rental_id,late_return,bike_age_months,distance_km,humidity_pct,ride_duration_min,temperature_c,wind_speed_mps,humidity_range_error,temperature_c_outlier,distance_km_outlier,ride_duration_min_outlier,avg_speed_kmh,speed_outlier,bad_weather,old_bike,station_zone_공원,station_zone_대학가,station_zone_도심,station_zone_주거,member_type_미상,member_type_연회원,member_type_월회원,member_type_일일권,weather_맑음,weather_미상,weather_비,weather_흐림
R0001,0,0.522602249999374,-0.027365182141488215,1.012738647103224,-0.1623210103757559,1.3344304841718102,1.7086567397594241,0,0,0,0,0.01776809225057872,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0
R0002,0,0.9852855727923309,-0.5831870235946566,0.8455176513377017,-0.496396092661236,0.07138249370454389,0.9890341248846158,0,0,0,0,-0.2497987770550059,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
R0003,0,0.8002122436751481,-0.5549931620716697,-0.4295424413744018,-0.4700217440597508,-0.05184170048738467,-1.6016072886646944,0,0,0,0,-0.23421710373440535,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
R0004,0,-0.12515440191076557,0.5002627977886933,1.033641271573914,0.22889849387960887,0.8877427802260699,-0.8819846737898859,0,0,0,0,0.0824793392689025,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
R0005,0,1.8181155538196532,-0.23277760180896354,-1.1262965903974094,-0.2106739828118123,-1.515129006516535,-1.7455318116396559,0,0,0,0,-0.10314931247347268,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
R0006,1,-0.21769106646935696,0.11561797272508767,1.9185190408331336,0.41791465885692,0.918548828774052,2.2843548316592717,0,0,0,0,-0.17123664333671643,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
R0007,0,0.4300655854407826,-0.3133314918746401,0.03031529698078327,-0.3073799276839249,0.5180701976502843,0.7011850789346928,0,0,0,0,-0.10520408523058424,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
R0008,1,0.2449922563235999,-0.13812678098179354,1.6467849227141604,-0.24583978094712602,-1.4073078365985976,1.4208076938095013,0,0,0,0,-0.003459819974157,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
R0009,0,0.2449922563235999,-0.14215447548507737,1.4377586780072582,0.1585668976089814,-1.4535169094205707,0.6292228174472115,0,0,0,0,-0.21179851488687282,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
R0010,0,-0.032617737352174214,-0.26097146333195026,0.05818546294170347,-0.39969014778912343,0.009770396608579332,-1.24179598122729,0,0,0,0,0.02462366129000039,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
R0011,0,-0.7729110538209052,-0.3717330621722556,-1.3771280840456916,-0.1623210103757559,-1.6075471521604812,1.4927699552969818,0,0,0,0,-0.2326265749950953,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
R0012,0,-0.21769106646935696,-0.526799300548683,2.0021295387158946,-0.5491447898642066,0.30242785781440973,-0.9539469352773667,0,0,0,0,-0.13105222555386783,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
R0013,0,0.4300655854407826,-0.3596499786624041,-1.1053939659267187,-0.4612302945259223,1.3960425812677744,0.05352472554736497,0,0,0,0,-0.01625818278102206,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
R0014,0,1.077822237350922,-0.18041757326627372,-0.3807696509427911,-0.017262093067587043,0.7799216103081321,-0.8819846737898859,0,0,0,0,-0.16743530137910229,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
R0015,0,0.8002122436751481,-0.2831237831000114,-0.8406273892979761,-0.1623210103757559,0.5796822947462488,-0.6660978893274434,0,0,0,0,-0.16819753780907395,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
R0016,0,-0.5878377247037224,0.12770105623493908,0.4692704108652783,-0.03484499213524383,-0.5139324287071163,0.05352472554736497,0,0,0,0,0.034134157404702256,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
R0017,0,-0.3102277310279483,-0.0394482656513398,-1.8648559883617968,-0.17990390944341283,-0.036438676213393396,-0.8819846737898859,0,0,0,0,0.022016160636470113,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
R0018,0,-0.032617737352174214,-0.49256389727077043,-0.42257489988417163,-0.4568345697590081,-1.1762624724887318,-0.6660978893274434,0,0,0,0,-0.17208592126033112,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
R0019,1,0.522602249999374,10.988379284339782,-1.19597200529971,-0.496396092661236,1.0263699986919892,-0.5941356278399625,0,0,1,0,13.977250823520086,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
R0020,1,0.05991892720641715,0.03305023540776917,1.932454123813594,0.2596685672480083,-0.3599021859672058,2.1404303086843095,0,0,0,0,-0.15813439515381034,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
R0021,0,-0.8654477183794965,0.1679780012677774,-0.11600307431404841,0.03988232890229774,-0.945217108378866,-2.10534311907706,0,0,0,0,0.0123148508586584,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
R0022,0,-0.49530106014513103,0.4277642967295843,-0.6943090180031445,0.4223103836238341,-0.9606201326528567,-0.23432432040255835,0,0,0,0,-0.04019325375596818,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
R0023,0,-0.6803743892623138,-0.45228695223793214,-0.06723028388243768,-0.4480431202251797,0.9031458045000607,0.05352472554736497,0,0,0,0,-0.13387733693387543,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
R0024,0,0.6151389145579653,0.5224151175567542,-0.199613572196809,0.49264197989446157,0.6721004403901948,-0.16236205891507743,0,0,0,0,-0.0279572916030828,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
R0025,0,0.2449922563235999,-0.41603770170837767,1.7652331280480718,-0.34254572581923864,-1.1146503753927675,0.2694115100098077,0,0,0,0,-0.17457984995665465,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
R0026,0,-1.698277699406819,-0.0636144326710427,0.4692704108652783,-0.1623210103757559,-0.11345379758334867,-1.9614185961020985,0,0,0,0,-0.008589241143702802,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
R0027,0,0.522602249999374,1.18094316884366,2.615273189856141,1.2574980893375343,1.5500728240076849,-0.5221733663524817,1,0,1,1,-0.04308507008179812,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
R0028,0,-0.21769106646935696,1.321912476458594,1.096349144985985,8.910454908535176,1.319027459897819,-0.16236205891507743,0,0,1,1,-0.45320426478910497,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
R0029,0,-1.0505210474966793,-0.19048680952448335,-0.6873414765129142,-0.25023550571404013,-1.545935055064517,0.1974492485223268,0,0,0,0,-0.042620898518247,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
R0030,0,-0.3102277310279483,0.21228264080389944,0.11392579486354387,0.11021392517292519,0.7799216103081321,-0.01843753594011562,0,0,0,0,-0.0019999077951324616,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
R0031,0,-1.3281310411724534,-0.05958673816775887,0.3577897470215965,0.05746522796995468,-6.4594997984676645,-0.5941356278399625,0,1,0,0,-0.12820239396266656,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
R0032,0,0.2449922563235999,1.348092490729939,0.8246150268670117,1.1651878692323359,0.31783088208840043,-0.5221733663524817,0,0,1,1,0.02651786276261474,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
